category,type,joke,flags_nsfw,flags_political,flags_sexist,safe,lang
Spooky,twopart,Why do ghosts go on diets? ... So they can keep their ghoulish figures.,FALSE,FALSE,FALSE,TRUE,en
Dark,twopart,What's yellow and can't swim? ... A bus full of children.,FALSE,FALSE,FALSE,FALSE,en
Programming,single,"// This line doesn't actually do anything, but the code stops working when I delete it.",FALSE,FALSE,FALSE,TRUE,en
Pun,twopart,"Mickey Mouse and Minnie Mouse are in the divorce court.
""Mickey"", the judge says, ""I'm sorry. I can't grant you a divorce on the grounds of insanity. Minnie seems quite sane to me."" ... ""I didn't say she was insane"", exclaims Mickey.
""I said she was fucking Goofy.""",TRUE,FALSE,FALSE,FALSE,en
Programming,single,"ASCII silly question, get a silly ANSI.",FALSE,FALSE,FALSE,TRUE,en
Pun,twopart,I just saw my wife trip over and drop a basket full of ironed clothes. ... I watched it all unfold.,FALSE,FALSE,FALSE,TRUE,en
Programming,single,"Two C strings walk into a bar.
The bartender asks ""What can I get ya?""
The first string says ""I'll have a gin and tonic.""
The second string thinks for a minute, then says ""I'll take a tequila sunriseJF()#$JF(#)$(@J#()$@#())!*FNIN!OBN134ufh1ui34hf9813f8h8384h981h3984h5F!##@""
The first string apologizes, ""You'll have to excuse my friend, he's not null-terminated.""",FALSE,FALSE,FALSE,TRUE,en
Pun,twopart,"The past, the present and the future walk into a bar. ... It was tense.",FALSE,FALSE,FALSE,TRUE,en
Programming,twopart,How did the programmer die in the shower? ... He read the shampoo bottle instructions: Lather. Rinse. Repeat.,FALSE,FALSE,FALSE,FALSE,en
Programming,single,"Two C strings walk into a bar.
The bartender asks ""What can I get ya?""
The first string says ""I'll have a gin and tonic.""
The second string thinks for a minute, then says ""I'll take a tequila sunriseJF()#$JF(#)$(@J#()$@#())!*FNIN!OBN134ufh1ui34hf9813f8h8384h981h3984h5F!##@""
The first string apologizes, ""You'll have to excuse my friend, he's not null-terminated.""",FALSE,FALSE,FALSE,TRUE,en
Programming,single,UDP is better in the COVID era since it avoids unnecessary handshakes.,FALSE,FALSE,FALSE,TRUE,en
Misc,single,"A perfectionist walked into a bar... apparently, the bar was not set high enough.",FALSE,FALSE,FALSE,TRUE,en
Spooky,twopart,Why do ghosts go on diets? ... So they can keep their ghoulish figures.,FALSE,FALSE,FALSE,TRUE,en
Pun,twopart,Did you hear about the crime in the parking garage? ... It was wrong on so many levels.,FALSE,FALSE,FALSE,TRUE,en
Misc,twopart,"My wife left me because I'm too insecure and paranoid. ... Oh wait, never mind. She was just getting the mail.",FALSE,FALSE,FALSE,TRUE,en
Dark,single,"Me and my Jewish friend were eating lunch and I farted. He got mad so I said ""cmon man a little gas never killed anyone"".",FALSE,FALSE,FALSE,FALSE,en
Pun,twopart,Thank you student loans for getting me through college. ... I don't think I'll ever be able to repay you.,FALSE,FALSE,FALSE,TRUE,en
Pun,twopart,"My employer came running to me and said, ""I was looking for you all day! Where the hell have you been?"" ... I replied, ""Good employees are hard to find.""",FALSE,FALSE,FALSE,TRUE,en
Dark,twopart,"Muslim women are horrible competitors. ... No matter what they do, they always get beat.",FALSE,FALSE,FALSE,FALSE,en
Pun,single,I'm reading a book about anti-gravity. It's impossible to put down!,FALSE,FALSE,FALSE,TRUE,en
Dark,twopart,What's the difference between Jesus and a hooker? ... The look on their face when you are nailing them.,FALSE,FALSE,FALSE,FALSE,en
Pun,twopart,What do you call a pile of kittens? ... A meowntain.,FALSE,FALSE,FALSE,TRUE,en
Spooky,twopart,How do Rednecks celebrate Halloween? ... Pump kin!,TRUE,FALSE,FALSE,FALSE,en
Pun,twopart,"The past, the present and the future walk into a bar. ... It was tense.",FALSE,FALSE,FALSE,TRUE,en
Dark,twopart,What's the difference between a little girl and a fridge? ... Fridges don't scream when you put your meat in them.,TRUE,FALSE,FALSE,FALSE,en
Programming,twopart,Why did the programmer jump on the table? ... Because debug was on his screen.,FALSE,FALSE,FALSE,TRUE,en
Misc,twopart,I like my girls how I like my COVID. ... 19 and easily spread.,TRUE,FALSE,FALSE,FALSE,en
Pun,twopart,What do you call a cheap circumcision? ... A rip off.,TRUE,FALSE,FALSE,FALSE,en
Misc,twopart,What do you call a bird sitting with their legs spread? ... A prostitweety.,TRUE,FALSE,FALSE,FALSE,en
Misc,twopart,"I won the lottery today! ... Well, I only got the first two numbers, but my lawyers are working on having them stop the count.",FALSE,TRUE,FALSE,FALSE,en
Dark,twopart,My wife divorced me so I stole her wheelchair. ... Guess who came crawling back.,FALSE,FALSE,FALSE,TRUE,en
Dark,single,"I'll never forget my Granddad's last words to me just before he died. ""Are you still holding the ladder?""",FALSE,FALSE,FALSE,FALSE,en
Misc,twopart,Why are cats so good at video games? ... They have nine lives.,FALSE,FALSE,FALSE,TRUE,en
Spooky,twopart,What's it like to be kissed by a vampire? ... It's a pain in the neck.,FALSE,FALSE,FALSE,TRUE,en
Misc,single,"My wife is really mad at the fact that I have no sense of direction.
So I packed up my stuff and right.",FALSE,FALSE,FALSE,TRUE,en
Programming,single,"Programming is 10% science, 20% ingenuity, and 70% getting the ingenuity to work with the science.",FALSE,FALSE,FALSE,TRUE,en
Pun,twopart,"How did Harry Potter get down the hill? ... Walking...
JK, Rolling.",FALSE,FALSE,FALSE,TRUE,en
Programming,twopart,What do you call a developer who doesn't comment code? ... A developer.,FALSE,FALSE,FALSE,TRUE,en
Dark,twopart,"How many Jews can you fit into a car? ... Two in the front, three in the back, and a hundred in the ashtray.",FALSE,FALSE,FALSE,FALSE,en
Christmas,twopart,Whats the Grinchs least favorite band? ... The Who.,FALSE,FALSE,FALSE,TRUE,en
Dark,twopart,Why does Dr. Pepper come in a bottle? ... His wife is dead.,TRUE,FALSE,FALSE,FALSE,en
Misc,twopart,"How many nice guys does it take to change a lightbulb? ... None, they'll just compliment it and get pissed off when it won't screw.",TRUE,FALSE,FALSE,FALSE,en
Dark,twopart,Why does Dr. Pepper come in a bottle? ... His wife is dead.,TRUE,FALSE,FALSE,FALSE,en
Pun,twopart,I walked into a bar once. ... It really hurt my head.,FALSE,FALSE,FALSE,TRUE,en
Misc,twopart,I WRITE MY JOKES IN CAPITALS. ... THIS ONE WAS WRITTEN IN PARIS.,FALSE,FALSE,FALSE,TRUE,en
Misc,twopart,"How many nice guys does it take to change a lightbulb? ... None, they'll just compliment it and get pissed off when it won't screw.",TRUE,FALSE,FALSE,FALSE,en
Misc,single,Stop being homophobic and rude to the LGBTQ+ community. You should be thanking them for saving us plenty of room in heaven.,FALSE,FALSE,FALSE,FALSE,en
Misc,twopart,"Went to the doctors for a prostate exam.
During the exam he said it's not unusual to become aroused or even ejaculate. ... But still, I wish he hadn't.",TRUE,FALSE,FALSE,FALSE,en
Misc,single,I went to the zoo the other day. There was only a dog in it - it was a shihtzu.,FALSE,FALSE,FALSE,FALSE,en
Pun,twopart,"Why shouldn't you visit an expensive wig shop? ... It's too high a price ""toupee.""",FALSE,FALSE,FALSE,TRUE,en
Pun,twopart,I walked into a bar once. ... It really hurt my head.,FALSE,FALSE,FALSE,TRUE,en
Programming,single,Your mama's so FAT she can't save files bigger than 4GB.,FALSE,FALSE,FALSE,FALSE,en
Spooky,twopart,Why did the ghost go inside the bar? ... For the boos.,FALSE,FALSE,FALSE,TRUE,en
Spooky,twopart,Why did the ghost go to the bar? ... To get sheet faced.,FALSE,FALSE,FALSE,FALSE,en
Dark,single,"I don't know where I stand on abortion. I like killing babies, but I don't like giving women a choice.",TRUE,FALSE,TRUE,FALSE,en
Dark,twopart,"I'm thinking of setting up a comedy group to help people going through cancer treatment. ... I'll call it ""A Sense of Tumor"".",TRUE,FALSE,FALSE,FALSE,en
Programming,twopart,What do you call a developer who doesn't comment code? ... A developer.,FALSE,FALSE,FALSE,TRUE,en
Dark,twopart,Everyone says that Hitler really loved animals. ... Then why did he kill 6 million of them?,FALSE,FALSE,FALSE,FALSE,en
Pun,single,"I have a joke about trickle down economics, but 99% of you will never get it.",FALSE,FALSE,FALSE,TRUE,en
Programming,twopart,Why did the web developer walk out of a resturant in disgust? ... The seating was laid out in tables.,FALSE,FALSE,FALSE,TRUE,en
Pun,twopart,I stayed up all night wondering where the sun went. ... Then it dawned on me.,FALSE,FALSE,FALSE,TRUE,en
Spooky,twopart,Why did the ghost go inside the bar? ... For the boos.,FALSE,FALSE,FALSE,TRUE,en
Pun,twopart,Do you know what killed the man who had a two ton pumpkin fall on him? ... He was squashed.,FALSE,FALSE,FALSE,TRUE,en
Programming,twopart,What do you get if you lock a monkey in a room with a typewriter for 8 hours? ... A regular expression.,FALSE,FALSE,FALSE,TRUE,en
Pun,twopart,What do you call a deer with no eyes? ... No eye deer.,FALSE,FALSE,FALSE,TRUE,en
Dark,twopart,"My grandma was recently diagnosed with Alzheimer's, and she keeps calling me by the wrong name. ... Other than that, the sex is great.",TRUE,FALSE,FALSE,FALSE,en
Dark,twopart,"Life's like my dick. ... The more children you have, the harder it gets.",TRUE,FALSE,FALSE,FALSE,en
Dark,twopart,White people don't shoot each other in the streets as black people do. ... They do it in schools because they have class.,FALSE,FALSE,FALSE,FALSE,en
Pun,twopart,Why did the banana go see a doctor? ... Because it wasn't peeling well.,FALSE,FALSE,FALSE,TRUE,en
Misc,twopart,What do you call a Jewish Pokemon Trainer? ... Ash.,FALSE,FALSE,FALSE,FALSE,en
Misc,twopart,"""99.9% of the people are dumb!"" ... ""Fortunately I belong to the remaining 1%""",FALSE,FALSE,FALSE,TRUE,en
Pun,twopart,"You see, mountains aren't just funny. ... They are hill areas.",FALSE,FALSE,FALSE,TRUE,en
Programming,single,Debugging: Removing the needles from the haystack.,FALSE,FALSE,FALSE,TRUE,en
Misc,twopart,"Why does Beyonce sing ""to the left, to the left""? ... Because women don't have rights.",FALSE,FALSE,TRUE,FALSE,en
Misc,twopart,Why are cats so good at video games? ... They have nine lives.,FALSE,FALSE,FALSE,TRUE,en
Misc,twopart,"My mother said, ""You won't amount to anything because you always procrastinate."" ... I said, ""Oh yeah... Just you wait.""",FALSE,FALSE,FALSE,TRUE,en
Pun,twopart,"Why shouldn't you visit an expensive wig shop? ... It's too high a price ""toupee.""",FALSE,FALSE,FALSE,TRUE,en
Programming,single,"A man is smoking a cigarette and blowing smoke rings into the air. His girlfriend becomes irritated with the smoke and says ""Can't you see the warning on the cigarette pack? Smoking is hazardous to your health!"" to which the man replies, ""I am a programmer.  We don't worry about warnings; we only worry about errors.""",FALSE,FALSE,FALSE,TRUE,en
Dark,twopart,"What did the boy with no arms get for Christmas? ... I don't know, he hasn't opened it yet.",FALSE,FALSE,FALSE,FALSE,en
Dark,twopart,Jokes about anti-vaxxer parents never get old. ... Just like their kids.,FALSE,FALSE,FALSE,FALSE,en
Programming,twopart,What are bits? ... Tiny things left when you drop your computer down the stairs.,FALSE,FALSE,FALSE,TRUE,en
Pun,twopart,What's the difference between a poorly dressed man on a unicycle and a well dressed man on a bicycle? ... Attire.,FALSE,FALSE,FALSE,TRUE,en
Programming,twopart,Why do programmers confuse Halloween and Christmas? ... Because Oct 31 = Dec 25,FALSE,FALSE,FALSE,TRUE,en
Misc,twopart,What do you call a bird sitting with their legs spread? ... A prostitweety.,TRUE,FALSE,FALSE,FALSE,en
Programming,twopart,Why did the Python programmer not respond to the foreign mails he got? ... Because his interpreter was busy collecting garbage.,FALSE,FALSE,FALSE,TRUE,en
Dark,twopart,Why are there no pharmacies in Africa? ... Because you can't use medicine on an empty stomach.,FALSE,FALSE,FALSE,FALSE,en
Misc,twopart,What is the difference between an oral thermometer and a rectal thermometer? ... The taste.,TRUE,FALSE,FALSE,FALSE,en
Misc,twopart,How do construction workers party? ... They raise the roof.,FALSE,FALSE,FALSE,TRUE,en
Programming,single,Debugging is like being the detective in a crime movie where you're also the murderer at the same time.,FALSE,FALSE,FALSE,TRUE,en
Pun,twopart,"A grocery store cashier asked if I would like my milk in a bag. ... I told her ""No, thanks. The carton works fine"".",FALSE,FALSE,FALSE,TRUE,en
Misc,single,"My parents raised me as an only child, which really annoyed my younger brother.",FALSE,FALSE,FALSE,TRUE,en
Programming,single,"Have a great weekend!
I hope your code behaves the same on Monday as it did on Friday.",FALSE,FALSE,FALSE,TRUE,en
Programming,single,"If Bill Gates had a dime for every time Windows crashed ... Oh wait, he does.",FALSE,FALSE,FALSE,TRUE,en
Misc,twopart,"Arguing with a woman is like reading a software's license agreement. ... In the end you ignore everything and click ""I agree"".",FALSE,FALSE,TRUE,FALSE,en
Programming,twopart,Why did the database administrator leave his wife? ... She had one-to-many relationships.,FALSE,FALSE,FALSE,TRUE,en
Pun,twopart,"The gas Argon walks into a bar.
The barkeeper says ""What would you like to drink?"" ... But Argon doesn't react.",FALSE,FALSE,FALSE,TRUE,en
Pun,single,I was reading a great book about an immortal dog the other day. It was impossible to put down.,FALSE,FALSE,FALSE,TRUE,en
Pun,twopart,Did you hear about the cheese factory that exploded in France? ... There was nothing but de brie.,FALSE,FALSE,FALSE,TRUE,en
Pun,twopart,Why did the Romanian stop reading? ... They wanted to give the Bucharest.,FALSE,FALSE,FALSE,TRUE,en
Misc,twopart,What does tofu and a dildo have in common? ... They're both meat substitutes.,TRUE,FALSE,FALSE,FALSE,en
Dark,twopart,What's the difference between Harry Potter and the jews? ... Harry escaped the chamber.,FALSE,FALSE,FALSE,FALSE,en
Programming,twopart,What do you get if you lock a monkey in a room with a typewriter for 8 hours? ... A regular expression.,FALSE,FALSE,FALSE,TRUE,en
Pun,twopart,"The gas Argon walks into a bar.
The barkeeper says ""What would you like to drink?"" ... But Argon doesn't react.",FALSE,FALSE,FALSE,TRUE,en
Programming,twopart,Why do they call it hyper terminal? ... Too much Java.,FALSE,FALSE,FALSE,TRUE,en
Dark,single,I was going to tell a dead baby joke. But I decided to abort.,FALSE,FALSE,FALSE,FALSE,en
Spooky,twopart,What happened to the cannibal who showed up late to Halloween dinner? ... They gave him the cold shoulder.,TRUE,FALSE,FALSE,FALSE,en
Pun,twopart,"Why shouldn't you visit an expensive wig shop? ... It's too high a price ""toupee.""",FALSE,FALSE,FALSE,TRUE,en
Pun,twopart,My girlfriend left me because I have a fetish for touching pasta. ... I'm feeling cannelloni now. :'(,TRUE,FALSE,FALSE,FALSE,en
Pun,twopart,Where do sick cruise ships go to get healthy? ... The dock!,FALSE,TRUE,FALSE,TRUE,en
Misc,twopart,What do you call a Jewish Pokemon Trainer? ... Ash.,FALSE,FALSE,FALSE,FALSE,en
Pun,twopart,Why does the size of the snack not matter to a giraffe? ... Because even a little bit goes a long way.,FALSE,FALSE,FALSE,TRUE,en
Misc,single,"Women are like KFC, once you're done with the breasts and thighs, you just have a greasy box to put your bone in.",TRUE,FALSE,TRUE,FALSE,en
Programming,single,"Four engineers get into a car. The car won't start.
The Mechanical engineer says ""It's a broken starter"".
The Electrical engineer says ""Dead battery"".
The Chemical engineer says ""Impurities in the gasoline"".
The IT engineer says ""Hey guys, I have an idea: How about we all get out of the car and get back in"".",FALSE,FALSE,FALSE,TRUE,en
Programming,twopart,"Hey, wanna hear a joke? ... Parsing HTML with regex.",FALSE,FALSE,FALSE,TRUE,en
Pun,twopart,What time did the man go to the dentist? ... Tooth hurt-y.,FALSE,FALSE,FALSE,TRUE,en
Misc,twopart,What's the difference between a feminist and a grenade? ... The grenade actually accomplishes something when it triggers.,FALSE,TRUE,TRUE,FALSE,en
Programming,twopart,Why do programmers prefer using the dark mode? ... Because light attracts bugs.,FALSE,FALSE,FALSE,TRUE,en
Pun,twopart,What do you call a caveman's fart? ... A blast from the past.,FALSE,FALSE,FALSE,TRUE,en
Dark,twopart,Why is it so hard to break up with a Japanese girlfriend? ... You have to drop the bomb twice before she gets it.,FALSE,FALSE,FALSE,FALSE,en
Pun,twopart,What do Asian people call fingers? ... Limb Limbs.,FALSE,FALSE,FALSE,FALSE,en
Pun,twopart,"The other day my wife asked me to pass her lipstick, but I accidentally gave her a glue stick. ... She still isn't talking to me.",FALSE,FALSE,FALSE,TRUE,en
Programming,twopart,Why did the JavaScript heap close shop? ... It ran out of memory.,FALSE,FALSE,FALSE,TRUE,en
Programming,single,Saying that Java is nice because it works on every OS is like saying that anal sex is nice because it works on every gender.,TRUE,FALSE,FALSE,FALSE,en
Dark,twopart,How long does a black woman take to throw away the garbage? ... Nine months.,FALSE,FALSE,FALSE,FALSE,en
Pun,twopart,What do you call a deaf gynecologist? ... A lip reader.,TRUE,FALSE,FALSE,FALSE,en
Misc,single,I visited my friend at his new house. He told me to make myself at home. So I threw him out. I hate having visitors.,FALSE,FALSE,FALSE,TRUE,en
Programming,single,"""Honey, go to the store and buy some eggs.""
""OK.""
""Oh and while you're there, get some milk.""
He never returned.",FALSE,FALSE,FALSE,TRUE,en
Pun,twopart,Did you hear about the claustrophobic astronaut? ... He just needed a little space.,FALSE,FALSE,FALSE,TRUE,en
Dark,single,"Dark humor is like food, not everyone gets it.",FALSE,FALSE,FALSE,FALSE,en
Pun,twopart,Why is crucified Jesus always depicted with six-pack abs? ... He did CrossFit.,FALSE,FALSE,FALSE,FALSE,en
Pun,twopart,What do you call a cop's penis after he's done masturbating? ... Pulled pork.,TRUE,FALSE,FALSE,FALSE,en
Pun,twopart,I can't believe I got fired from the calendar factory. ... All I did was take a day off.,FALSE,FALSE,FALSE,TRUE,en
Pun,twopart,Did you hear about the claustrophobic astronaut? ... He just needed a little space.,FALSE,FALSE,FALSE,TRUE,en
Misc,twopart,What does a woman's pussy and a chainsaw have in common? ... Miss by a few inches and you're in deep shit.,TRUE,FALSE,FALSE,FALSE,en
Dark,twopart,"How many Jews can you fit into a car? ... Two in the front, three in the back, and a hundred in the ashtray.",FALSE,FALSE,FALSE,FALSE,en
Pun,twopart,"A Roman walks into a bar and raises 2 fingers and says to the bartender... ... ""Five beers, please.""",FALSE,FALSE,FALSE,TRUE,en
Dark,twopart,What do you call a kid with no arms and an eyepatch? ... Names.,FALSE,FALSE,FALSE,FALSE,en
Dark,twopart,What's the difference between Harry Potter and the jews? ... Harry escaped the chamber.,FALSE,FALSE,FALSE,FALSE,en
Programming,single,"// This line doesn't actually do anything, but the code stops working when I delete it.",FALSE,FALSE,FALSE,TRUE,en
Programming,twopart,What is the best prefix for global variables? ... //,FALSE,FALSE,FALSE,TRUE,en
Programming,single,"Two C strings walk into a bar.
The bartender asks ""What can I get ya?""
The first string says ""I'll have a gin and tonic.""
The second string thinks for a minute, then says ""I'll take a tequila sunriseJF()#$JF(#)$(@J#()$@#())!*FNIN!OBN134ufh1ui34hf9813f8h8384h981h3984h5F!##@""
The first string apologizes, ""You'll have to excuse my friend, he's not null-terminated.""",FALSE,FALSE,FALSE,TRUE,en
Programming,twopart,Why are Assembly programmers always soaking wet? ... They work below C-level.,FALSE,FALSE,FALSE,TRUE,en
Dark,twopart,What's the difference between a little girl and a fridge? ... Fridges don't scream when you put your meat in them.,TRUE,FALSE,FALSE,FALSE,en
Christmas,twopart,How will Christmas dinner be different after Brexit? ... No Brussels!,FALSE,TRUE,FALSE,FALSE,en
Programming,single,"Java and C were telling jokes. It was C's turn, so he writes something on the wall, points to it and says ""Do you get the reference?"" But Java didn't.",FALSE,FALSE,FALSE,TRUE,en
Misc,twopart,"My wife left me because I'm too insecure and paranoid. ... Oh wait, never mind. She was just getting the mail.",FALSE,FALSE,FALSE,TRUE,en
Misc,single,"Yo mama is so old, she knew Burger King while he was still a prince.",FALSE,FALSE,FALSE,TRUE,en
Programming,twopart,Why did the JavaScript heap close shop? ... It ran out of memory.,FALSE,FALSE,FALSE,TRUE,en
Pun,twopart,How does a Jewish person make tea? ... Hebrews it.,FALSE,FALSE,FALSE,FALSE,en
Programming,twopart,How did the programmer die in the shower? ... He read the shampoo bottle instructions: Lather. Rinse. Repeat.,FALSE,FALSE,FALSE,FALSE,en
Pun,twopart,What's long and hard and has cum in it? ... A cucumber.,TRUE,FALSE,FALSE,FALSE,en
Pun,twopart,"The other day my wife asked me to pass her lipstick, but I accidentally gave her a glue stick. ... She still isn't talking to me.",FALSE,FALSE,FALSE,TRUE,en
Misc,twopart,What is the least spoken language in the world? ... Sign language.,FALSE,FALSE,FALSE,TRUE,en
Programming,single,I'd tell you a joke about NAT but I would have to translate.,FALSE,FALSE,FALSE,TRUE,en
Pun,twopart,What happened to the man who got behind on payments to his exorcist? ... He got repossessed.,FALSE,FALSE,FALSE,TRUE,en
Misc,single,Stop being homophobic and rude to the LGBTQ+ community. You should be thanking them for saving us plenty of room in heaven.,FALSE,FALSE,FALSE,FALSE,en
Dark,twopart,White people don't shoot each other in the streets as black people do. ... They do it in schools because they have class.,FALSE,FALSE,FALSE,FALSE,en
Pun,twopart,What's the difference between a poorly dressed man on a unicycle and a well dressed man on a bicycle? ... Attire.,FALSE,FALSE,FALSE,TRUE,en
Pun,twopart,Two peanuts were walking. ... One was assaulted.,FALSE,FALSE,FALSE,TRUE,en
Pun,twopart,What kind of doctor is Dr. Pepper? ... He's a fizzician.,FALSE,FALSE,FALSE,TRUE,en
Pun,twopart,"I asked my wife if I was the only one she's been with. ... She said, ""Yes, the others were at least sevens or eights.""",FALSE,FALSE,FALSE,TRUE,en
Dark,twopart,"What did one necrophiliac tell the other necrophiliac after work? ... ""Let's go have a couple of cold ones!""",TRUE,FALSE,FALSE,FALSE,en
Pun,twopart,Which part of the hospital has the least privacy? ... The ICU.,FALSE,FALSE,FALSE,TRUE,en
Programming,single,"A programmer puts two glasses on his bedside table before going to sleep.
A full one, in case he gets thirsty, and an empty one, in case he doesn't.",FALSE,FALSE,FALSE,TRUE,en
Misc,twopart,I told my wife to shave her pussy. ... I woke up bald.,TRUE,FALSE,FALSE,FALSE,en
Pun,twopart,What does a perverted frog say? ... Rubbit.,TRUE,FALSE,FALSE,FALSE,en
