category,type,joke,flags_nsfw,flags_political,flags_sexist,safe,lang
Misc,twopart,What's green and smells like pork? ... Kermit's Fingers.,TRUE,FALSE,FALSE,FALSE,en
Misc,twopart,"Why are men like lawnmowers? ... They are very hard to get started, they make yucky smells and half the time they don't even work.",FALSE,FALSE,TRUE,FALSE,en
Misc,twopart,Why do Jewish women prefer circumcised men? ... Cause they won't take anything until it's at least 10% off.,TRUE,FALSE,FALSE,FALSE,en
Dark,single,I didn't vaccinate my 10 kids and the one that survived is fine!,FALSE,FALSE,FALSE,FALSE,en
Pun,twopart,What do you call a deer with no eyes? ... No eye deer.,FALSE,FALSE,FALSE,TRUE,en
Programming,single,"""Can I tell you a TCP joke?""
""Please tell me a TCP joke.""
""OK, I'll tell you a TCP joke.""",FALSE,FALSE,FALSE,TRUE,en
Dark,twopart,"What did the boy with no arms get for Christmas? ... I don't know, he hasn't opened it yet.",FALSE,FALSE,FALSE,FALSE,en
Misc,twopart,Why are cats so good at video games? ... They have nine lives.,FALSE,FALSE,FALSE,TRUE,en
Misc,single,"My parents raised me as an only child, which really annoyed my younger brother.",FALSE,FALSE,FALSE,TRUE,en
Programming,single,"Your momma is so fat, you need to switch to NTFS to store a picture of her.",FALSE,FALSE,FALSE,FALSE,en
Misc,twopart,How do construction workers party? ... They raise the roof.,FALSE,FALSE,FALSE,TRUE,en
Pun,twopart,I can't believe I got fired from the calendar factory. ... All I did was take a day off.,FALSE,FALSE,FALSE,TRUE,en
Programming,twopart,Why do programmers prefer using the dark mode? ... Because light attracts bugs.,FALSE,FALSE,FALSE,TRUE,en
Pun,twopart,"Mickey Mouse and Minnie Mouse are in the divorce court.
""Mickey"", the judge says, ""I'm sorry. I can't grant you a divorce on the grounds of insanity. Minnie seems quite sane to me."" ... ""I didn't say she was insane"", exclaims Mickey.
""I said she was fucking Goofy.""",TRUE,FALSE,FALSE,FALSE,en
Programming,single,"Eight bytes walk into a bar.
The bartender asks, ""Can I get you anything?""
""Yeah,"" reply the bytes.
""Make us a double.""",FALSE,FALSE,FALSE,TRUE,en
Programming,twopart,Why do Java programmers hate communism? ... They don't want to live in a classless society.,FALSE,FALSE,FALSE,TRUE,en
Misc,twopart,"My wife left me because I'm too insecure and paranoid. ... Oh wait, never mind. She was just getting the mail.",FALSE,FALSE,FALSE,TRUE,en
Pun,twopart,Why did the banana go see a doctor? ... Because it wasn't peeling well.,FALSE,FALSE,FALSE,TRUE,en
Dark,twopart,"What's the most notable similarity between a pedophile and a roller coaster? ... They both make a child scream, but the first ride's never the last",TRUE,FALSE,FALSE,FALSE,en
Dark,single,I didn't vaccinate my 10 kids and the one that survived is fine!,FALSE,FALSE,FALSE,FALSE,en
Programming,single,"""Knock, knock.""
""Who's there?""

[very long pause]

""Java.""",FALSE,FALSE,FALSE,TRUE,en
Pun,twopart,I just saw my wife trip over and drop a basket full of ironed clothes. ... I watched it all unfold.,FALSE,FALSE,FALSE,TRUE,en
Programming,twopart,Why did the Python data scientist get arrested at customs? ... She was caught trying to import pandas!,FALSE,FALSE,FALSE,TRUE,en
Dark,twopart,"What did the boy with no arms get for Christmas? ... I don't know, he hasn't opened it yet.",FALSE,FALSE,FALSE,FALSE,en
Programming,single,"""We messed up the keming again guys.""",FALSE,FALSE,FALSE,TRUE,en
Christmas,twopart,Why does Santa go down the chimney? ... Because it soots him!,FALSE,FALSE,FALSE,TRUE,en
Dark,single,"My little daughter came to me all excited, saying ""Daddy! Daddy! Guess how old I'll be in June!""
""Oh I don't know princess, why don't you tell me?"" I said. She gave me a huge smile and held up four fingers.
It's now three hours later, police have joined in and she still won't say where she got them.",FALSE,FALSE,FALSE,FALSE,en
Dark,twopart,Jokes about anti-vaxxer parents never get old. ... Just like their kids.,FALSE,FALSE,FALSE,FALSE,en
Pun,twopart,"You see, mountains aren't just funny. ... They are hill areas.",FALSE,FALSE,FALSE,TRUE,en
Misc,single,"What does the MacBook have in common with Donald Trump?

I would tell you....
But I don't compare apples to oranges.",FALSE,TRUE,FALSE,FALSE,en
Programming,single,"How do you tell HTML from HTML5?
- Try it out in Internet Explorer
- Did it work?
- No?
- It's HTML5.",FALSE,FALSE,FALSE,TRUE,en
Programming,single,The generation of random numbers is too important to be left to chance.,FALSE,FALSE,FALSE,TRUE,en
Pun,twopart,Which part of the hospital has the least privacy? ... The ICU.,FALSE,FALSE,FALSE,TRUE,en
Misc,twopart,"The average penis has... ... Been in and around my ex-girlfriend's mouth.
Fuck you, Karen!",TRUE,FALSE,FALSE,FALSE,en
Programming,twopart,Why did the web developer walk out of a resturant in disgust? ... The seating was laid out in tables.,FALSE,FALSE,FALSE,TRUE,en
Dark,twopart,What do you call a kid with no arms and an eyepatch? ... Names.,FALSE,FALSE,FALSE,FALSE,en
Misc,twopart,I told my wife to shave her pussy. ... I woke up bald.,TRUE,FALSE,FALSE,FALSE,en
Misc,twopart,What do you call a bird sitting with their legs spread? ... A prostitweety.,TRUE,FALSE,FALSE,FALSE,en
Dark,twopart,Why is it so hard to break up with a Japanese girlfriend? ... You have to drop the bomb twice before she gets it.,FALSE,FALSE,FALSE,FALSE,en
Misc,twopart,How do construction workers party? ... They raise the roof.,FALSE,FALSE,FALSE,TRUE,en
Dark,twopart,What do Ted Bundy and the Space Shuttle Columbia have in common? ... They both left bodies in four states.,FALSE,FALSE,FALSE,FALSE,en
Pun,twopart,What kind of bees produce milk? ... Boo-Bees.,TRUE,FALSE,FALSE,FALSE,en
Programming,single,"Eight bytes walk into a bar.
The bartender asks, ""Can I get you anything?""
""Yeah,"" reply the bytes.
""Make us a double.""",FALSE,FALSE,FALSE,TRUE,en
Christmas,twopart,Why does Santa go down the chimney? ... Because it soots him!,FALSE,FALSE,FALSE,TRUE,en
Misc,twopart,What is the least spoken language in the world? ... Sign language.,FALSE,FALSE,FALSE,TRUE,en
Dark,twopart,"How many Jews can you fit into a car? ... Two in the front, three in the back, and a hundred in the ashtray.",FALSE,FALSE,FALSE,FALSE,en
Pun,twopart,What's grey and comes in pints? ... An elephant.,TRUE,FALSE,FALSE,FALSE,en
Pun,twopart,I stayed up all night wondering where the sun went. ... Then it dawned on me.,FALSE,FALSE,FALSE,TRUE,en
Pun,twopart,I just got fired from my job at the keyboard factory. ... They told me I wasn't putting in enough shifts.,FALSE,FALSE,FALSE,TRUE,en
Dark,twopart,Dads are like boomerangs. ... I hope.,FALSE,FALSE,FALSE,TRUE,en
Pun,twopart,What time did the man go to the dentist? ... Tooth hurt-y.,FALSE,FALSE,FALSE,TRUE,en
Spooky,twopart,I'm not saying my son is ugly... ... But on Halloween he went to tell the neighbors to turn down their TV and they gave him some candy.,FALSE,FALSE,FALSE,TRUE,en
Programming,twopart,What's the object-oriented way to become wealthy? ... Inheritance.,FALSE,FALSE,FALSE,TRUE,en
Pun,twopart,What do you call a deer with no eyes? ... No eye deer.,FALSE,FALSE,FALSE,TRUE,en
Programming,single,"A guy walks into a bar and asks for 1.4 root beers.
The bartender says ""I'll have to charge you extra, that's a root beer float"".
The guy says ""In that case, better make it a double.""",FALSE,FALSE,FALSE,TRUE,en
Pun,twopart,Why did the Romanian stop reading? ... They wanted to give the Bucharest.,FALSE,FALSE,FALSE,TRUE,en
Dark,single,"Me and my Jewish friend were eating lunch and I farted. He got mad so I said ""cmon man a little gas never killed anyone"".",FALSE,FALSE,FALSE,FALSE,en
Dark,twopart,I was walking down the street and saw some black guy on a bike and it looked just like mine so I ran home to check. ... Thankfully he was still chained up in my basement.,FALSE,FALSE,FALSE,FALSE,en
Spooky,twopart,Why did the ghost go inside the bar? ... For the boos.,FALSE,FALSE,FALSE,TRUE,en
Programming,single,"Two C strings walk into a bar.
The bartender asks ""What can I get ya?""
The first string says ""I'll have a gin and tonic.""
The second string thinks for a minute, then says ""I'll take a tequila sunriseJF()#$JF(#)$(@J#()$@#())!*FNIN!OBN134ufh1ui34hf9813f8h8384h981h3984h5F!##@""
The first string apologizes, ""You'll have to excuse my friend, he's not null-terminated.""",FALSE,FALSE,FALSE,TRUE,en
Dark,twopart,Why does Dr. Pepper come in a bottle? ... His wife is dead.,TRUE,FALSE,FALSE,FALSE,en
Dark,single,"I have a fish that can breakdance! Only for 20 seconds though, and only once.",FALSE,FALSE,FALSE,FALSE,en
Pun,twopart,I just saw my wife trip over and drop a basket full of ironed clothes. ... I watched it all unfold.,FALSE,FALSE,FALSE,TRUE,en
Pun,twopart,So I made a graph of all my past relationships. ... It has an ex axis and a why axis.,FALSE,FALSE,FALSE,TRUE,en
Programming,single,Debugging is like being the detective in a crime movie where you're also the murderer at the same time.,FALSE,FALSE,FALSE,TRUE,en
Misc,single,My husband and I were happy for 20 years. And then we met.,FALSE,FALSE,FALSE,TRUE,en
Pun,twopart,Thank you student loans for getting me through college. ... I don't think I'll ever be able to repay you.,FALSE,FALSE,FALSE,TRUE,en
Programming,twopart,What do you call a developer who doesn't comment code? ... A developer.,FALSE,FALSE,FALSE,TRUE,en
Misc,twopart,I told my wife to shave her pussy. ... I woke up bald.,TRUE,FALSE,FALSE,FALSE,en
Pun,twopart,"I was feeling depressed, my wife put her hand on my back and said ""Earth."" ... It meant the world to me.",FALSE,FALSE,FALSE,TRUE,en
Dark,twopart,What's the difference between a baby and a watermelon? ... One's satisfying to hit with a sledgehammer. The other's a watermelon.,FALSE,FALSE,FALSE,FALSE,en
Pun,twopart,What do you call crystal clear urine? ... 1080p.,FALSE,FALSE,FALSE,FALSE,en
Dark,twopart,What's the difference between a phone and a black person? ... A phone is actually useful.,FALSE,FALSE,FALSE,FALSE,en
Misc,twopart,"My wife left me because I'm too insecure and paranoid. ... Oh wait, never mind. She was just getting the mail.",FALSE,FALSE,FALSE,TRUE,en
Christmas,twopart,What says Oh Oh Oh? ... Santa walking backwards!,FALSE,FALSE,FALSE,TRUE,en
Pun,twopart,What do you call a cheap circumcision? ... A rip off.,TRUE,FALSE,FALSE,FALSE,en
Dark,twopart,The KKK isn't really that racist. ... I went to one of their meetings and there were a lot of black people hanging around.,FALSE,FALSE,FALSE,FALSE,en
Pun,twopart,Where do sick cruise ships go to get healthy? ... The dock!,FALSE,TRUE,FALSE,TRUE,en
Pun,twopart,"To prove he was right, the flat-earther walked to the end of the Earth. ... He eventually came around.",FALSE,FALSE,FALSE,TRUE,en
Programming,twopart,How can you tell an extroverted programmer? ... He looks at YOUR shoes when he's talking.,FALSE,FALSE,FALSE,TRUE,en
Misc,single,"My wife is really mad at the fact that I have no sense of direction.
So I packed up my stuff and right.",FALSE,FALSE,FALSE,TRUE,en
Misc,twopart,"The average penis has... ... Been in and around my ex-girlfriend's mouth.
Fuck you, Karen!",TRUE,FALSE,FALSE,FALSE,en
Dark,twopart,How long does a black woman take to throw away the garbage? ... Nine months.,FALSE,FALSE,FALSE,FALSE,en
Misc,single,I visited my friend at his new house. He told me to make myself at home. So I threw him out. I hate having visitors.,FALSE,FALSE,FALSE,TRUE,en
Misc,twopart,What's the difference between England and a tea bag? ... The tea bag stays in the cup longer.,FALSE,FALSE,FALSE,TRUE,en
Pun,twopart,So I made a graph of all my past relationships. ... It has an ex axis and a why axis.,FALSE,FALSE,FALSE,TRUE,en
Pun,twopart,My girlfriend left me because I have a fetish for touching pasta. ... I'm feeling cannelloni now. :'(,TRUE,FALSE,FALSE,FALSE,en
Christmas,twopart,What do elves post on Social Media? ... Elf-ies!,FALSE,FALSE,FALSE,TRUE,en
Programming,single,"Hey Girl,
Roses are #ff0000,
Violets are #0000ff,
I use hex codes,
But I'd use RGB for you.",FALSE,FALSE,FALSE,TRUE,en
Pun,twopart,What do you call a cow with no legs? ... Ground beef.,FALSE,FALSE,FALSE,TRUE,en
Misc,single,"A neutron walks into a bar and asks for a price on a drink.
The barkeeper says: ""For you... no charge!""",FALSE,FALSE,FALSE,TRUE,en
Pun,twopart,"A grocery store cashier asked if I would like my milk in a bag. ... I told her ""No, thanks. The carton works fine"".",FALSE,FALSE,FALSE,TRUE,en
Pun,twopart,So I made a graph of all my past relationships. ... It has an ex axis and a why axis.,FALSE,FALSE,FALSE,TRUE,en
Programming,single,"Have a great weekend!
I hope your code behaves the same on Monday as it did on Friday.",FALSE,FALSE,FALSE,TRUE,en
Misc,single,"If you're here for the yodeling lesson, please form an orderly orderly orderly queue.",FALSE,FALSE,FALSE,TRUE,en
Dark,twopart,I've been in 15 school shootings and I was lucky to survive! ... I just had to be nice with the cops and not resist.,FALSE,TRUE,FALSE,FALSE,en
Misc,single,"Two reasons I don't give money to homeless people.
1) They are going to spend it all on drugs and alcohol
2) I am going to spend it all on drugs and alcohol.",FALSE,FALSE,FALSE,FALSE,en
Misc,twopart,What's the difference between England and a tea bag? ... The tea bag stays in the cup longer.,FALSE,FALSE,FALSE,TRUE,en
Pun,single,How do you make holy water? You freeze it and drill holes in it.,FALSE,FALSE,FALSE,FALSE,en
Pun,single,"I bought some shoes from a drug dealer. I don't know what he laced them with, but I was tripping all day!",FALSE,FALSE,FALSE,FALSE,en
Misc,twopart,What's the difference between a feminist and a grenade? ... The grenade actually accomplishes something when it triggers.,FALSE,TRUE,TRUE,FALSE,en
Programming,single,"A SQL statement walks into a bar and sees two tables.
It approaches, and asks ""may I join you?""",FALSE,FALSE,FALSE,TRUE,en
Programming,twopart,Why did the JavaScript heap close shop? ... It ran out of memory.,FALSE,FALSE,FALSE,TRUE,en
Dark,twopart,Jokes about anti-vaxxer parents never get old. ... Just like their kids.,FALSE,FALSE,FALSE,FALSE,en
Misc,twopart,"What's the difference between a hot potato and a flying pig? ... One's a heated yam, the other's a yeeted ham.",FALSE,FALSE,FALSE,TRUE,en
Pun,twopart,What do you call a deer with no eyes? ... No eye deer.,FALSE,FALSE,FALSE,TRUE,en
Dark,single,"My little daughter came to me all excited, saying ""Daddy! Daddy! Guess how old I'll be in June!""
""Oh I don't know princess, why don't you tell me?"" I said. She gave me a huge smile and held up four fingers.
It's now three hours later, police have joined in and she still won't say where she got them.",FALSE,FALSE,FALSE,FALSE,en
Pun,twopart,What kind of bees produce milk? ... Boo-Bees.,TRUE,FALSE,FALSE,FALSE,en
Spooky,twopart,What's it like to be kissed by a vampire? ... It's a pain in the neck.,FALSE,FALSE,FALSE,TRUE,en
Programming,single,"A guy walks into a bar and asks for 1.4 root beers.
The bartender says ""I'll have to charge you extra, that's a root beer float"".
The guy says ""In that case, better make it a double.""",FALSE,FALSE,FALSE,TRUE,en
Misc,twopart,This morning I accidentally made my coffee with Red Bull instead of water. ... I was already on the highway when I noticed I forgot my car at home.,FALSE,FALSE,FALSE,TRUE,en
Spooky,twopart,What's it like to be kissed by a vampire? ... It's a pain in the neck.,FALSE,FALSE,FALSE,TRUE,en
Pun,twopart,I can't believe I got fired from the calendar factory. ... All I did was take a day off.,FALSE,FALSE,FALSE,TRUE,en
Pun,twopart,"Mickey Mouse and Minnie Mouse are in the divorce court.
""Mickey"", the judge says, ""I'm sorry. I can't grant you a divorce on the grounds of insanity. Minnie seems quite sane to me."" ... ""I didn't say she was insane"", exclaims Mickey.
""I said she was fucking Goofy.""",TRUE,FALSE,FALSE,FALSE,en
Misc,twopart,Why is every gender equality officer female? ... Because it's cheaper.,FALSE,FALSE,TRUE,FALSE,en
Christmas,twopart,Why does Santa have three gardens? ... So he can 'ho ho ho'!,FALSE,FALSE,FALSE,TRUE,en
Dark,twopart,What do you call a kid with no arms and an eyepatch? ... Names.,FALSE,FALSE,FALSE,FALSE,en
Programming,twopart,What's the object-oriented way to become wealthy? ... Inheritance.,FALSE,FALSE,FALSE,TRUE,en
Dark,twopart,Why are Americans bad at Dota? ... They can't protect their towers.,FALSE,TRUE,FALSE,FALSE,en
Dark,twopart,The KKK isn't really that racist. ... I went to one of their meetings and there were a lot of black people hanging around.,FALSE,FALSE,FALSE,FALSE,en
Programming,single,"Have a great weekend!
I hope your code behaves the same on Monday as it did on Friday.",FALSE,FALSE,FALSE,TRUE,en
Christmas,twopart,Whats the Grinchs least favorite band? ... The Who.,FALSE,FALSE,FALSE,TRUE,en
Misc,twopart,What do you use to blindfold an Asian? ... Floss.,FALSE,FALSE,FALSE,FALSE,en
Programming,single,"Programming is 10% science, 20% ingenuity, and 70% getting the ingenuity to work with the science.",FALSE,FALSE,FALSE,TRUE,en
Misc,twopart,This morning I accidentally made my coffee with Red Bull instead of water. ... I was already on the highway when I noticed I forgot my car at home.,FALSE,FALSE,FALSE,TRUE,en
Pun,single,"A horse walks into a bar.
""Hey"", the Bartender says.
""Sure"", the horse replies.",FALSE,FALSE,FALSE,TRUE,en
Programming,twopart,Why do Java programmers hate communism? ... They don't want to live in a classless society.,FALSE,FALSE,FALSE,TRUE,en
Pun,single,"A horse walks into a bar.
""Hey"", the Bartender says.
""Sure"", the horse replies.",FALSE,FALSE,FALSE,TRUE,en
Misc,twopart,"How many nice guys does it take to change a lightbulb? ... None, they'll just compliment it and get pissed off when it won't screw.",TRUE,FALSE,FALSE,FALSE,en
Programming,twopart,How can you tell an extroverted programmer? ... He looks at YOUR shoes when he's talking.,FALSE,FALSE,FALSE,TRUE,en
Misc,twopart,What does tofu and a dildo have in common? ... They're both meat substitutes.,TRUE,FALSE,FALSE,FALSE,en
Misc,twopart,Why is every gender equality officer female? ... Because it's cheaper.,FALSE,FALSE,TRUE,FALSE,en
Pun,single,"To whoever stole my copy of Microsoft Office, I will find you. You have my Word!",FALSE,FALSE,FALSE,TRUE,en
Programming,single,"A guy walks into a bar and asks for 1.4 root beers.
The bartender says ""I'll have to charge you extra, that's a root beer float"".
The guy says ""In that case, better make it a double.""",FALSE,FALSE,FALSE,TRUE,en
Programming,single,"""Honey, go to the store and buy some eggs.""
""OK.""
""Oh and while you're there, get some milk.""
He never returned.",FALSE,FALSE,FALSE,TRUE,en
Programming,single,I've got a really good UDP joke to tell you but I don’t know if you'll get it.,FALSE,FALSE,FALSE,TRUE,en
Dark,twopart,My wife divorced me so I stole her wheelchair. ... Guess who came crawling back.,FALSE,FALSE,FALSE,TRUE,en
Programming,twopart,Why do Java programmers hate communism? ... They don't want to live in a classless society.,FALSE,FALSE,FALSE,TRUE,en
Dark,twopart,What do an orgasm and a pulse have in common? ... I don't care if she has one.,TRUE,FALSE,FALSE,FALSE,en
Dark,single,Hey girl are you a school? Because I want to shoot some kids up inside of you.,TRUE,FALSE,FALSE,FALSE,en
Misc,single,I went to the zoo the other day. There was only a dog in it - it was a shihtzu.,FALSE,FALSE,FALSE,FALSE,en
Misc,twopart,I'm sure good looking lesbians look at fat lesbians and give them no chance. ... Until they see their fingers.,TRUE,FALSE,FALSE,FALSE,en
Pun,twopart,"A Roman walks into a bar and raises 2 fingers and says to the bartender... ... ""Five beers, please.""",FALSE,FALSE,FALSE,TRUE,en
Misc,twopart,"Why does Beyonce sing ""to the left, to the left""? ... Because women don't have rights.",FALSE,FALSE,TRUE,FALSE,en
Pun,twopart,"What's the best thing about Switzerland? ... I don't know, but the flag is a big plus.",FALSE,FALSE,FALSE,TRUE,en
Misc,twopart,What's green and smells like pork? ... Kermit's Fingers.,TRUE,FALSE,FALSE,FALSE,en
Dark,twopart,What's the difference between Harry Potter and the jews? ... Harry escaped the chamber.,FALSE,FALSE,FALSE,FALSE,en
Programming,twopart,Why do Java programmers hate communism? ... They don't want to live in a classless society.,FALSE,FALSE,FALSE,TRUE,en
Christmas,twopart,What's Santa's favourite type of music? ... Wrap!,FALSE,FALSE,FALSE,TRUE,en
Dark,twopart,What do Ted Bundy and the Space Shuttle Columbia have in common? ... They both left bodies in four states.,FALSE,FALSE,FALSE,FALSE,en
Pun,twopart,Two peanuts were walking. ... One was assaulted.,FALSE,FALSE,FALSE,TRUE,en
Pun,twopart,I stayed up all night wondering where the sun went. ... Then it dawned on me.,FALSE,FALSE,FALSE,TRUE,en
Misc,twopart,I told my wife to shave her pussy. ... I woke up bald.,TRUE,FALSE,FALSE,FALSE,en
Dark,twopart,What's the difference between a phone and a black person? ... A phone is actually useful.,FALSE,FALSE,FALSE,FALSE,en
Pun,twopart,Why is crucified Jesus always depicted with six-pack abs? ... He did CrossFit.,FALSE,FALSE,FALSE,FALSE,en
Dark,twopart,I was walking down the street and saw some black guy on a bike and it looked just like mine so I ran home to check. ... Thankfully he was still chained up in my basement.,FALSE,FALSE,FALSE,FALSE,en
Programming,single,"""Can I tell you a TCP joke?""
""Please tell me a TCP joke.""
""OK, I'll tell you a TCP joke.""",FALSE,FALSE,FALSE,TRUE,en
Misc,twopart,I WRITE MY JOKES IN CAPITALS. ... THIS ONE WAS WRITTEN IN PARIS.,FALSE,FALSE,FALSE,TRUE,en
Pun,twopart,What happened to the man who got behind on payments to his exorcist? ... He got repossessed.,FALSE,FALSE,FALSE,TRUE,en
Pun,single,"Today, my son asked ""Can I have a book mark?"" and I burst into tears.
11 years old and he still doesn't know my name is Brian.",FALSE,FALSE,FALSE,TRUE,en
Dark,single,"My little daughter came to me all excited, saying ""Daddy! Daddy! Guess how old I'll be in June!""
""Oh I don't know princess, why don't you tell me?"" I said. She gave me a huge smile and held up four fingers.
It's now three hours later, police have joined in and she still won't say where she got them.",FALSE,FALSE,FALSE,FALSE,en
Dark,twopart,"How do we know Jesus wasn't black? ... He would have been hung from a tree, not a cross.",FALSE,FALSE,FALSE,FALSE,en
Programming,twopart,Why do programmers prefer using the dark mode? ... Because light attracts bugs.,FALSE,FALSE,FALSE,TRUE,en
Dark,twopart,What's the difference between a baby and a pile of sand? ... You can't pick a pile of sand up with a pitchfork.,FALSE,FALSE,FALSE,FALSE,en
Misc,single,"A perfectionist walked into a bar... apparently, the bar was not set high enough.",FALSE,FALSE,FALSE,TRUE,en
Pun,twopart,What kind of doctor is Dr. Pepper? ... He's a fizzician.,FALSE,FALSE,FALSE,TRUE,en
Pun,twopart,What do Asian people call fingers? ... Limb Limbs.,FALSE,FALSE,FALSE,FALSE,en
